year,2013,2014,2015,2016,2017,TTM
Diluted,1.41,1.33,-1.41,0.67,1.43,1.47
EBITDA,294.0,307.0,-64.0,226.0,332.0,342.0
Other income (expense),6.0,32.0,-371.0,12.0,25.0,16.0
Provision for income taxes,1.0,-0.0,0.0,N/A,N/A,N/A
Gain on sale of equity investment,-2.0,-30.0,-16.0,-112.0,7.0,36.0
Operating income,289.0,304.0,321.0,323.0,297.0,287.0
Weighted average shares outstanding Basic,122.0,133.0,138.0,145.0,151.0,152.0
Weighted average shares outstanding Diluted,133.0,143.0,138.0,145.0,151.0,152.0
Interest income,1.0,1.0,1.0,2.0,N/A,N/A
Net income from continuing operations,191.0,198.0,-176.0,116.0,234.0,245.0
Interest expenses,103.0,109.0,110.0,108.0,96.0,96.0
Other distributions,2.0,N/A,N/A,N/A,N/A,N/A
Net income,191.0,198.0,-176.0,116.0,234.0,245.0
Basic,1.45,1.36,-1.41,0.67,1.43,1.47
Net income available to common shareholders,191.0,198.0,-176.0,116.0,234.0,243.0
"Sales General and administrative",10.0,10.0,12.0,13.0,14.0,16.0
Total expenses,176.0,198.0,215.0,226.0,219.0,218.0
Income before income taxes,191.0,198.0,-176.0,117.0,234.0,245.0
Other,0.0,N/A,N/A,N/A,N/A,N/A
Revenue,465.0,502.0,536.0,549.0,516.0,505.0
Operating expenses,167.0,188.0,203.0,213.0,205.0,202.0
