year,2013,2014,2015,2016,2017,TTM
Diluted,2.47,2.91,2.88,3.32,6.07,5.76
EBITDA,371.0,432.0,460.0,565.0,984.0,949.0
Other income (expense),-13.0,7.0,5.0,13.0,22.0,19.0
Provision for income taxes,7.0,11.0,N/A,N/A,N/A,N/A
Gain on sale of equity investment,105.0,152.0,165.0,230.0,618.0,571.0
Operating income,278.0,264.0,280.0,311.0,330.0,345.0
Weighted average shares outstanding Basic,108.0,109.0,118.0,131.0,136.0,137.0
Weighted average shares outstanding Diluted,108.0,109.0,120.0,132.0,138.0,139.0
Net income from continuing operations,268.0,318.0,346.0,439.0,837.0,796.0
Interest expenses,101.0,105.0,105.0,114.0,126.0,129.0
Net income,268.0,318.0,346.0,439.0,837.0,796.0
Depreciation and amortization,2.0,2.0,3.0,4.0,4.0,5.0
Basic,2.47,2.9,2.92,3.36,6.15,5.83
Net income available to common shareholders,268.0,318.0,346.0,439.0,837.0,796.0
"Sales General and administrative",6.0,37.0,41.0,52.0,59.0,54.0
Total expenses,199.0,242.0,253.0,286.0,309.0,305.0
Income before income taxes,268.0,318.0,346.0,439.0,844.0,806.0
Other,0.0,N/A,N/A,N/A,N/A,N/A
Revenue,477.0,506.0,534.0,597.0,639.0,650.0
Operating expenses,191.0,203.0,209.0,230.0,246.0,246.0
