year,2013,2014,2015,2016,2017,TTM
Diluted,4.3,1.48,-0.51,-8.39,1.8,2.26
EBITDA,589.0,311.0,104.0,-729.0,246.0,242.0
Other income (expense),163.0,-81.0,-336.0,-1096.0,-13.0,23.0
Provision for income taxes,0.0,1.0,2.0,2.0,-4.0,-4.0
Gain on sale of equity investment,50.0,3.0,49.0,-14.0,-17.0,23.0
Operating income,365.0,374.0,372.0,357.0,247.0,172.0
Weighted average shares outstanding Basic,103.0,108.0,108.0,105.0,75.0,65.0
Weighted average shares outstanding Diluted,103.0,108.0,108.0,105.0,75.0,65.0
Interest income,5.0,3.0,3.0,3.0,6.0,6.0
Net income from continuing operations,445.0,159.0,-55.0,-880.0,135.0,158.0
Interest expenses,138.0,140.0,142.0,128.0,93.0,71.0
Depreciation and amortization,3.0,3.0,3.0,N/A,N/A,N/A
Basic,4.3,1.48,-0.51,-8.39,1.8,2.27
Net income available to common shareholders,445.0,159.0,-55.0,-880.0,135.0,158.0
"Sales General and administrative",24.0,24.0,12.0,12.0,11.0,12.0
Total expenses,322.0,331.0,319.0,308.0,223.0,162.0
Income before income taxes,445.0,160.0,-53.0,-878.0,131.0,154.0
Net income,445.0,159.0,-55.0,-880.0,135.0,158.0
Revenue,687.0,705.0,691.0,664.0,470.0,335.0
Operating expenses,296.0,304.0,303.0,296.0,212.0,151.0
