year,2013,2014,2015,2016,2017,TTM
Diluted,0.21,1.87,1.28,1.11,1.89,2.93
EBITDA,56.0,270.0,197.0,205.0,374.0,619.0
Other income (expense),-3.0,-2.0,26.0,3.0,76.0,91.0
Provision for income taxes,-2.0,17.0,17.0,29.0,48.0,81.0
Gain on sale of equity investment,-72.0,117.0,55.0,90.0,143.0,330.0
Operating income,129.0,155.0,110.0,105.0,147.0,193.0
Weighted average shares outstanding Basic,110.0,111.0,113.0,125.0,152.0,175.0
Weighted average shares outstanding Diluted,110.0,111.0,113.0,125.0,155.0,177.0
Interest income,2.0,0.0,7.0,7.0,8.0,6.0
Net income from continuing operations,23.0,209.0,146.0,141.0,296.0,503.0
Interest expenses,35.0,44.0,35.0,35.0,30.0,36.0
Net income,23.0,208.0,145.0,140.0,293.0,498.0
Depreciation and amortization,0.0,0.0,0.0,0.0,0.0,0.0
Basic,0.21,1.87,1.28,1.11,1.92,2.98
Net income available to common shareholders,23.0,208.0,145.0,140.0,293.0,498.0
"Sales General and administrative",15.0,21.0,22.0,26.0,33.0,41.0
Total expenses,91.0,101.0,90.0,99.0,117.0,143.0
Income before income taxes,21.0,226.0,162.0,170.0,343.0,584.0
Other,-1.0,-1.0,-2.0,-3.0,-5.0,N/A
Revenue,220.0,256.0,200.0,204.0,264.0,335.0
Operating expenses,75.0,80.0,68.0,73.0,84.0,101.0
