year,2013,2014,2015,2016,2017,TTM
Diluted,2.29,2.1,0.4,2.51,2.18,1.99
Other income (expense),28.0,35.0,76.0,16.0,4.0,-29.0
Provision for income taxes,1.0,-4.0,-0.0,-2.0,N/A,N/A
Gain on sale of equity investment,221.0,147.0,-79.0,216.0,194.0,163.0
Weighted average shares outstanding Diluted,303.0,309.0,320.0,326.0,327.0,323.0
Depreciation and amortization,4.0,4.0,10.0,9.0,N/A,N/A
Basic,2.3,2.11,0.4,2.51,2.18,1.99
"Sales General and administrative",45.0,69.0,56.0,68.0,54.0,61.0
Income before income taxes,713.0,664.0,419.0,679.0,708.0,636.0
Total expenses,437.0,494.0,484.0,506.0,481.0,486.0
Net income from discontinuing ops,-275.0,148.0,7.0,4.0,N/A,N/A
EBITDA,949.0,904.0,610.0,863.0,889.0,815.0
Revenue,1121.0,1204.0,1088.0,1133.0,1155.0,1148.0
Other,-4.0,-1.0,-1.0,-0.0,N/A,N/A
Operating income,684.0,710.0,603.0,627.0,674.0,662.0
Interest income,14.0,7.0,5.0,8.0,10.0,N/A
Net income from continuing operations,713.0,664.0,418.0,683.0,708.0,639.0
Interest expenses,234.0,235.0,187.0,180.0,171.0,169.0
Weighted average shares outstanding Basic,302.0,308.0,319.0,325.0,327.0,323.0
Net income available to common shareholders,709.0,663.0,142.0,831.0,715.0,643.0
Net income,709.0,663.0,142.0,831.0,715.0,643.0
Operating expenses,392.0,425.0,424.0,434.0,418.0,415.0
