year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Payables Period,63.6,0.0,65.45,62.28,58.04,52.85,52.07,46.45,49.24,47.25,67.4
Cap Spending CAD Mil,-191.0,-173.0,-131.0,-141.0,-200.0,-161.0,-180.0,-163.0,-182.0,-193.0,-241.0
Shares Mil,99.0,100.0,98.0,97.0,95.0,95.0,94.0,96.0,97.0,98.0,98.0
Current Ratio,1.72,1.81,1.73,1.55,1.38,1.59,1.46,1.55,1.41,1.44,1.52
Operating Margin,2.29,6.58,4.84,0.44,2.91,5.1,4.61,6.22,5.47,4.0,4.93
Other Short-Term Liabilities,0.0,13.32,0.14,0.72,2.6,0.73,2.41,1.95,2.15,2.71,2.04
Operating Income % 3-Year Average,0.0,39.96,8.8,0.0,-25.37,-2.48,117.22,31.31,9.68,1.8,0.0
Cash Conversion Cycle,56.94,0.0,46.06,49.15,47.68,49.02,53.31,51.25,49.26,46.4,38.3
Total Stockholders' Equity,31.33,34.39,33.97,28.62,27.33,29.07,25.06,23.11,26.43,34.35,34.49
Total Current Liabilities,18.11,15.77,17.68,20.19,21.58,18.83,19.84,19.38,20.47,19.97,19.52
Operating Cash Flow Growth % YOY,2.55,1.03,-0.35,0.76,-0.49,0.14,0.0,0.23,0.31,-0.53,0.0
Free Cash Flow/Net Income,0.31,3.02,2.39,2.64,-0.14,6.45,-0.35,-1.86,1.41,-0.04,0.15
Taxes Payable,0.0,0.0,0.11,0.06,0.03,0.05,0.14,0.03,0.03,0.14,0.47
Accounts Receivable,16.3,14.32,15.63,12.87,14.48,14.25,12.69,14.81,14.06,13.26,14.73
Interest Coverage,0.0,1.64,1.05,0.12,0.85,1.2,0.61,0.83,2.94,5.41,3.11
EBT Margin,-2.74,1.68,-0.35,-2.04,-0.82,1.87,-1.24,-0.44,4.55,10.21,4.68
4. close,6.19,6.9,6.5,N/A,4.99,5.72,6.29,8.9,N/A,N/A,13.67
Other Current Assets,0.0,0.0,0.19,3.0,0.0,0.0,1.96,0.0,0.0,0.3,0.0
Net Income % 10-Year Average,0.0,0.34,-13.79,-1.91,0.0,-14.87,0.0,0.0,46.33,18.23,0.0
Financial Leverage,3.21,2.9,2.96,3.63,3.78,3.54,4.11,4.44,3.88,3.01,3.0
Book Value Per Share * CAD,12.74,13.41,13.01,11.24,10.42,11.23,10.16,9.68,10.02,14.96,16.42
3-Year Average,5.1,4.44,0.25,-3.36,-2.04,-0.93,-0.59,1.94,1.3,6.66,0.0
Cash & Short-Term Investments,0.27,0.5,0.27,0.48,0.95,0.65,0.82,1.59,1.7,2.24,2.27
EPS % Year over Year,0.0,0.0,-70.0,466.67,0.0,0.0,0.0,0.0,0.0,273.38,-91.82
Free Cash Flow CAD Mil,-17.0,181.0,98.0,261.0,3.0,71.0,51.0,121.0,190.0,-20.0,26.0
Fixed Assets Turnover,2.05,1.96,2.15,2.08,2.17,2.3,2.19,2.43,2.48,2.32,2.05
Tax Rate %,0.0,35.38,0.0,0.0,0.0,50.0,0.0,0.0,24.73,0.0,0.96
Return on Invested Capital %,-1.87,4.23,4.52,6.46,2.93,2.52,-1.81,0.24,7.84,20.42,8.45
Asset Turnover,1.03,0.99,1.05,0.97,0.98,1.02,0.95,1.03,1.04,1.05,0.95
Net Int Inc & Other,-5.03,-4.9,-5.19,-2.48,-3.73,-3.23,-5.84,-6.66,-0.92,6.2,-0.25
Debt/Equity,1.33,1.12,1.1,1.43,1.45,1.42,1.74,1.97,1.55,1.04,1.04
Inventory,14.39,13.71,14.34,13.83,13.45,14.17,12.58,12.84,12.51,11.94,11.55
Market Capitalization,612.8100000000001,690.0,637.0,N/A,474.05,543.4,591.26,854.4000000000001,N/A,N/A,1339.66
Operating Income % Year over Year,0.0,0.0,-29.8,-91.06,562.5,56.6,-1.2,46.34,-8.75,-21.0,59.57
COGS,82.72,77.15,84.92,89.57,86.61,84.96,86.02,84.46,84.48,85.81,84.96
R&D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quick Ratio,0.92,0.94,0.91,0.69,0.74,0.82,0.7,0.86,0.79,0.8,0.9
Other Long-Term Liabilities,8.86,11.37,10.97,10.32,11.54,10.68,11.42,11.94,12.01,9.87,10.1
10-Year Average,4.74,3.4,2.71,1.2,0.15,1.1,0.91,1.1,1.63,0.96,0.0
Gross Margin %,17.3,22.9,15.1,10.4,13.4,15.0,14.0,15.5,15.5,14.2,15.0
Payout Ratio % *,0.0,26.7,88.9,28.6,0.0,0.0,0.0,0.0,29.6,3.4,8.8
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EPS % 3-Year Average,0.0,146.62,-42.56,0.0,0.0,-15.14,0.0,0.0,132.92,0.0,0.0
Return on Assets %,-1.41,1.53,0.45,2.66,-0.3,0.29,-3.92,-1.73,3.52,12.37,3.77
Operating Income % 10-Year Average,0.0,2.88,-1.77,-23.97,-9.42,4.69,6.07,0.0,8.94,2.21,0.0
Net Income % Year over Year,0.0,0.0,-71.67,482.35,0.0,0.0,0.0,0.0,0.0,275.56,0.0
Operating Margin %,2.3,6.6,4.8,0.4,2.9,5.1,4.6,6.2,5.5,4.0,4.9
Total Liabilities,68.67,65.61,66.03,71.38,72.67,70.93,74.94,76.89,73.57,65.65,65.51
Days Sales Outstanding,58.2,56.49,50.89,52.4,47.16,43.95,45.51,44.2,46.07,44.43,52.31
Return on Equity %,-4.48,4.69,1.33,8.66,-1.1,1.07,-14.89,-7.39,14.59,41.57,11.78
Short-Term Debt,3.49,2.45,2.05,4.42,3.91,2.56,2.41,1.89,1.72,2.22,1.49
EPS % 5-Year Average,0.0,16.47,0.0,91.12,0.0,0.0,0.0,0.0,6.39,0.0,0.0
Net Income % 3-Year Average,0.0,171.44,-43.65,0.0,0.0,-13.51,0.0,0.0,130.66,0.0,0.0
Operating Income % 5-Year Average,0.0,22.89,0.0,-29.67,-5.28,0.0,-8.45,6.04,68.76,10.29,0.0
Dividends CAD,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Total Current Assets,30.96,28.53,30.42,30.18,28.88,29.08,28.04,29.24,28.27,27.73,28.55
Earnings Per Share CAD,-0.55,0.6,0.42,1.02,-0.23,0.11,-1.57,-0.69,1.39,5.19,1.82
Long-Term Debt,41.71,38.48,37.38,40.86,39.55,41.42,43.67,45.58,41.1,35.81,35.89
Inventory Turnover,5.86,5.44,6.02,6.18,6.23,6.3,6.1,6.82,6.96,7.42,6.84
Working Capital CAD Mil,522.0,484.0,479.0,400.0,295.0,414.0,323.0,398.0,316.0,369.0,0.0
Net Income % 5-Year Average,0.0,21.14,0.0,101.23,0.0,0.0,0.0,0.0,6.4,0.0,0.0
Year over Year,2.24,-3.49,2.12,-8.44,0.55,5.6,-7.48,8.42,3.63,8.0,4.34
Accounts Payable,14.62,0.0,15.38,14.99,13.0,13.02,10.95,11.73,12.68,11.52,15.52
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Cash Flow CAD Mil,174.0,354.0,229.0,402.0,203.0,232.0,231.0,284.0,372.0,173.0,267.0
Days Inventory,62.33,67.11,60.62,59.01,58.56,57.92,59.88,53.5,52.43,49.22,53.39
Net PP&E,50.53,50.42,47.72,45.64,44.91,43.96,42.83,41.79,42.43,48.01,48.6
