year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Payables Period,0.0,0.0,110.29,112.6,95.77,44.26,37.56,18.86,32.42,38.63,30.57
Shares Mil,0.0,0.0,1.0,23.0,55.0,56.0,57.0,58.0,59.0,60.0,60.0
Current Ratio,0.0,0.0,8.04,19.52,23.22,23.11,47.94,25.96,12.7,18.15,24.31
Operating Margin,0.0,0.0,-12.23,-29.18,-60.31,-68.03,-78.79,-83.77,-73.86,-39.75,-26.44
Other Short-Term Liabilities,0.0,0.0,9.58,4.7,0.19,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Conversion Cycle,0.0,0.0,13.6,80.19,171.99,149.81,156.1,151.0,117.3,75.29,74.25
Total Stockholders' Equity,0.0,0.0,-231.97,95.3,96.18,96.21,98.2,96.6,94.82,95.13,96.34
Total Current Liabilities,0.0,0.0,11.93,4.7,3.82,3.79,1.8,3.4,5.18,4.87,3.66
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book Value Per Share * USD,0.0,0.0,0.0,2.34,2.04,1.96,1.83,1.82,1.49,1.26,1.25
Taxes Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accounts Receivable,0.0,0.0,8.69,2.87,3.81,3.8,2.67,2.28,3.52,3.74,4.13
Interest Coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBT Margin,0.0,0.0,0.0,0.0,-58.46,-66.42,-77.03,-98.89,-70.08,-36.02,-22.51
4. close,N/A,N/A,N/A,N/A,3.3,4.59,1.77,1.53,N/A,N/A,1.84
Revenue USD Mil,0.0,0.0,16.0,21.0,20.0,22.0,19.0,15.0,13.0,18.0,21.0
Other Current Assets,0.0,0.0,0.19,0.14,0.13,0.27,0.33,0.33,0.25,49.4,0.28
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
