year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Payables Period,0.0,0.0,0.0,0.0,0.0,0.0,154.81,326.89,823.63,2157.1,1669.27
Dividends CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares Mil,0.0,0.0,0.0,2.0,3.0,5.0,51.0,77.0,105.0,141.0,162.0
Current Ratio,0.0,0.0,0.0,1.46,4.92,1.33,1.66,0.89,0.13,0.11,0.15
Operating Margin,0.0,0.0,0.0,0.0,0.0,-41.54,-41.56,-488.07,-411.64,-459.35,-622.36
Other Short-Term Liabilities,0.0,0.0,0.0,31.63,20.31,35.2,5.61,8.64,29.7,175.08,31.55
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Conversion Cycle,0.0,0.0,0.0,0.0,0.0,0.0,-60.53,-51.8,-583.98,-1915.88,-1105.6
Total Stockholders' Equity,0.0,0.0,0.0,68.37,79.69,64.8,63.03,25.72,-257.49,-324.44,-250.04
Total Current Liabilities,0.0,0.0,0.0,31.63,20.31,35.2,36.97,33.98,327.76,424.44,350.04
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow/Net Income,0.0,0.0,0.0,0.45,0.85,0.02,1.58,0.41,0.34,0.29,1.02
Taxes Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accounts Receivable,0.0,0.0,0.0,0.0,0.0,24.77,11.87,7.91,2.97,3.58,7.23
Interest Coverage,0.0,0.0,0.0,0.0,0.0,0.0,-30.85,-5.04,-6.41,-1.05,-1.4
EBT Margin,0.0,0.0,0.0,0.0,0.0,-42.21,-43.49,-695.75,-855.73,-941.34,0.0
4. close,N/A,N/A,N/A,N/A,0.18,0.18,0.2,0.57,N/A,0.115,0.04
Other Current Assets,0.0,0.0,0.0,0.0,55.72,0.0,17.14,16.49,27.6,28.06,26.9
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial Leverage,0.0,0.0,0.0,1.46,1.25,1.54,1.59,3.89,0.0,0.0,0.0
Financial Leverage (Average),0.0,0.0,0.0,1.46,1.25,1.54,1.59,3.89,0.0,0.0,0.0
Book Value Per Share * CAD,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.1,0.03,-0.16,-0.11
3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.85,0.0
Cash & Short-Term Investments,0.0,0.0,0.0,46.07,44.28,22.12,20.6,0.1,0.91,4.36,2.71
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.37
Free Cash Flow CAD Mil,0.0,0.0,0.0,-0.0,-0.0,-0.0,-7.0,-6.0,-5.0,-3.0,-8.0
Fixed Assets Turnover,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.86,0.8,0.61,0.54
Tax Rate %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Invested Capital %,0.0,0.0,0.0,-27.26,-121.0,-14.86,-70.65,-93.36,0.0,0.0,0.0
Asset Turnover,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.09,0.08,0.1,0.07
Net Int Inc & Other,0.0,0.0,0.0,0.0,0.0,-0.67,-1.93,-207.68,-444.09,-481.99,-411.75
Debt/Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,11.73,5.69,9.6,10.1,17.15
Market Capitalization,N/A,N/A,N/A,N/A,0.54,0.8999999999999999,10.200000000000001,43.88999999999999,N/A,16.215,6.48
Operating Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9
COGS,0.0,0.0,0.0,0.0,0.0,113.74,90.03,248.97,231.92,246.32,378.73
R&D,0.0,0.0,0.0,0.0,0.0,0.0,6.85,10.79,2.44,41.01,18.0
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long-Term Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.73,0.0,0.0,0.0
