year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Payables Period,122.14,248.69,0.0,83.19,65.04,50.51,50.71,61.94,61.3,42.92,107.28
Shares Mil,4.0,4.0,5.0,6.0,7.0,9.0,10.0,10.0,13.0,14.0,15.0
Current Ratio,1.74,1.45,1.74,1.3,1.32,1.4,1.79,1.63,1.53,1.76,1.63
Operating Margin,-39.47,-103.34,-44.18,-38.54,-38.58,-15.99,-8.4,-23.18,-29.0,-18.1,-15.84
Other Short-Term Liabilities,10.06,13.09,44.0,38.07,46.91,44.04,27.58,28.2,26.33,24.43,43.0
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash Conversion Cycle,87.36,89.32,0.0,162.26,130.71,141.3,156.1,178.89,213.08,148.71,115.9
Total Stockholders' Equity,53.56,47.49,56.0,34.68,10.06,15.38,32.54,34.11,21.07,36.2,29.29
Total Current Liabilities,46.41,52.51,44.0,58.95,62.58,56.22,44.83,51.03,51.33,45.84,48.7
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book Value Per Share * USD,8.39,123.61,3.21,1.87,0.54,1.0,1.76,0.73,1.46,1.79,1.47
Taxes Payable,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accounts Receivable,9.41,11.34,19.62,13.77,13.38,13.45,27.13,17.55,19.89,22.02,13.36
Interest Coverage,-834.47,0.0,0.0,-45.17,-15.53,-19.91,-7.24,0.0,0.0,0.0,0.0
EBT Margin,-36.1,-104.8,-31.27,-41.07,-40.37,-21.0,-9.93,-31.9,-34.0,-23.18,-20.7
4. close,34.75,14.75,4.21,N/A,6.46,11.41,26.0,9.85,N/A,N/A,7.95
Revenue USD Mil,39.0,19.0,21.0,24.0,32.0,42.0,46.0,36.0,29.0,48.0,48.0
Other Current Assets,4.82,7.81,5.23,8.01,9.39,4.03,8.36,2.36,2.69,2.18,11.17
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap Spending USD Mil,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-1.0,-2.0,-3.0,-4.0,-2.0
Free Cash Flow/Net Income,0.54,1.26,1.6,0.47,0.12,1.14,3.52,0.7,1.65,0.78,0.96
3-Year Average,1.89,-14.42,-18.02,-15.39,19.07,26.54,24.1,4.08,-11.91,1.8,0.0
Cash & Short-Term Investments,45.4,24.88,25.04,25.06,30.94,29.51,13.82,39.41,20.98,33.14,23.41
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.11
Net Margin %,-36.4,-49.76,-40.88,-41.07,-39.86,-21.0,-9.93,-31.9,-34.0,-23.18,-21.33
Fixed Assets Turnover,8.81,5.2,8.31,13.02,19.95,27.51,25.61,14.57,8.12,12.06,12.55
Tax Rate %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Invested Capital %,-46.28,-44.2,-48.95,-67.73,-159.12,-163.44,-36.82,-43.86,-44.83,-51.47,-31.5
Asset Turnover,0.68,0.45,0.61,0.76,0.87,1.03,1.04,0.67,0.53,0.84,0.71
Free Cash Flow Per Share * USD,-2.54,-3.35,-2.24,-1.28,-0.2,-0.13,-1.93,-1.46,-1.65,-1.47,0.0
Net Int Inc & Other,3.37,-1.46,12.9,-2.53,-1.79,-5.01,-1.53,-8.72,-5.01,-5.08,-4.86
Debt/Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
Inventory,21.23,31.91,26.61,29.99,29.02,32.0,30.91,24.04,34.92,23.36,31.28
Operating Income USD Mil,-16.0,-19.0,-9.0,-9.0,-12.0,-7.0,-4.0,-8.0,-8.0,-9.0,-8.0
Market Capitalization,139.0,59.0,21.05,N/A,45.22,102.69,260.0,98.5,N/A,N/A,119.25
Operating Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.73
COGS,79.93,80.21,74.08,76.97,83.44,71.56,75.38,83.35,79.32,76.23,71.28
Free Cash Flow USD Mil,-8.0,-12.0,-10.0,-5.0,-1.0,-10.0,-16.0,-8.0,-16.0,-9.0,-10.0
Financial Leverage,1.87,2.11,1.79,2.88,9.95,6.5,3.07,2.93,4.75,2.76,3.41
R&D,18.55,27.7,16.46,12.31,14.05,6.05,7.21,11.35,12.34,13.27,16.5
Net Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long-Term Liabilities,0.03,0.0,0.0,6.37,27.36,28.4,22.63,14.86,27.6,17.96,9.76
10-Year Average,0.0,21.57,8.95,12.38,7.22,4.75,10.58,-0.36,-0.36,2.38,0.0
Gross Margin %,20.1,19.8,25.9,23.0,16.6,28.4,24.6,16.6,20.7,23.8,28.7
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Assets %,-24.79,-22.22,-25.06,-31.3,-34.67,-21.69,-10.32,-21.4,-18.15,-19.51,-15.2
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Margin %,-39.5,-103.3,-44.2,-38.5,-38.6,-16.0,-8.4,-23.2,-29.0,-18.1,-15.8
Financial Leverage (Average),1.87,2.11,1.79,2.88,9.95,6.5,3.07,2.93,4.75,2.76,3.41
Total Liabilities,46.44,52.51,44.0,65.32,89.94,84.62,67.46,65.89,78.93,63.8,70.71
Days Sales Outstanding,77.41,74.19,80.99,69.45,47.83,41.29,60.54,63.97,24.55,30.35,27.48
Return on Equity %,-43.48,-43.64,-48.75,-68.93,-169.0,-171.42,-41.81,-64.06,-64.36,-65.77,-49.73
Short-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86,10.37,6.61,5.7
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings Per Share USD,-3.89,-2.54,-1.4,-1.58,-1.74,-1.04,-0.47,-1.12,-0.79,-0.8,-0.62
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Current Assets,80.86,75.94,76.5,76.83,82.73,78.98,80.21,83.35,78.48,80.69,79.22
Working Capital USD Mil,16.0,9.0,10.0,6.0,8.0,9.0,17.0,19.0,13.0,23.0,0.0
Long-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25
Inventory Turnover,2.76,1.38,1.54,2.07,2.47,2.42,2.5,2.06,1.46,2.26,1.87
Quick Ratio,1.18,0.69,1.02,0.66,0.71,0.76,0.91,1.12,0.8,1.2,0.75
Year over Year,3.55,-52.11,11.09,13.87,33.46,33.35,7.39,-21.26,-19.17,65.75,1.63
Accounts Payable,36.36,8.95,0.0,13.46,12.56,7.77,13.51,6.27,8.13,7.1,0.0
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cap Ex as a % of Sales,2.25,3.99,1.82,3.86,1.34,2.29,2.15,5.95,10.36,8.21,4.64
Days Inventory,132.09,263.82,236.86,176.0,147.92,150.52,146.28,176.85,249.83,161.28,195.7
Net PP&E,8.58,8.61,5.94,5.76,3.32,4.2,3.94,5.14,8.31,5.97,6.57
Net Income USD Mil,-14.0,-9.0,-7.0,-10.0,-13.0,-9.0,-5.0,-11.0,-10.0,-11.0,-10.0
Other,2.81,5.22,0.0,3.99,2.74,1.05,1.04,1.04,1.4,0.94,0.96
