year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,60.67,32.78,0.0,-63.02,-67.95,22.73,10.53,17.92,26.2,38.03,44.95
Operating Margin,33.06,13.61,0.0,-27.48,0.09,-3.72,1.35,2.64,2.1,23.25,13.81
Other Long-Term Assets,15.25,16.17,32.56,16.97,13.14,13.56,15.05,19.55,18.98,15.1,15.99
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receivables Turnover,7.74,7.54,8.18,5.79,6.4,8.98,9.35,8.66,10.38,9.58,10.49
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.74
Total Stockholders' Equity,16.93,46.23,42.58,34.29,25.24,26.52,21.57,14.3,5.23,-1.95,-2.14
3-Year Average,21.86,5.88,-13.93,-5.18,15.17,41.37,25.95,-1.55,-10.22,-8.85,0.0
Free Cash Flow/Net Income,2.19,-1.53,-10.73,1.69,2.93,-5.27,-0.31,-1.4,-0.92,-1.76,-2.77
EBT Margin,19.87,-30.18,0.0,-86.26,-33.53,-11.91,-37.68,-27.25,-32.19,-35.06,-25.06
Other Long-Term Liabilities,-62.83,4.59,5.29,10.65,10.55,9.32,9.24,12.48,13.79,11.38,12.19
Financial Leverage,5.91,2.16,2.36,3.64,5.49,5.58,8.19,8.03,22.55,0.0,0.0
Tax Rate %,10.16,0.0,125.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accrued Liabilities,0.3,0.08,0.3,1.97,2.46,2.45,1.51,2.03,2.03,2.73,1.98
Other,27.18,36.44,109.23,47.39,54.96,53.72,47.21,50.81,54.78,46.61,53.97
Total Current Liabilities,11.34,7.47,6.08,5.93,14.21,12.45,4.62,6.17,12.21,14.08,11.99
Market Capitalization,N/A,N/A,846.3000000000001,N/A,1608.9199999999998,512.4,487.63000000000005,361.12,N/A,N/A,359.68
Operating Cash Flow USD Mil,107.0,62.0,87.0,56.0,167.0,152.0,65.0,87.0,111.0,169.0,162.0
Fixed Assets Turnover,0.79,0.72,0.61,0.34,0.26,0.29,0.33,0.34,0.53,0.65,0.55
SG&A,7.9,16.79,0.0,40.15,6.58,7.44,7.74,7.0,5.66,5.48,6.68
Current Ratio,1.14,1.93,1.93,1.04,1.04,0.96,1.82,1.74,1.09,1.27,1.32
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,422.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income USD Mil,57.0,24.0,-16.0,-26.0,0.0,-18.0,6.0,11.0,8.0,100.0,49.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,1.38,1.43,1.6,2.76,6.29,1.3,1.72,2.62,0.76,0.57,0.79
Book Value Per Share * USD,0.0,8.32,6.41,3.47,6.08,7.52,5.85,3.67,3.57,0.27,-0.22
Payables Period,88.5,103.39,147.62,75.05,38.7,29.15,21.68,19.79,13.92,11.5,9.47
Accounts Receivable,4.38,3.75,4.32,2.53,1.57,2.01,1.97,2.51,2.56,4.63,2.42
Cash & Short-Term Investments,5.65,8.39,4.49,1.87,1.98,4.67,3.77,4.22,5.88,6.79,7.57
Free Cash Flow Growth % YOY,53.64,-44.19,-31.6,0.0,0.0,0.0,-52.04,45.93,38.91,56.69,0.0
Quick Ratio,0.88,1.63,1.45,0.74,0.27,0.58,1.35,1.25,0.81,1.0,1.03
Asset Turnover (Average),0.3,0.26,0.19,0.13,0.12,0.15,0.18,0.18,0.25,0.33,0.29
