year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,-220.01,330.51,-1.44,23.82,25.89,30.48,30.16,18.61,10.73,21.83,22.91
Operating Margin,246.52,297.04,28.27,26.26,24.15,35.17,34.1,25.31,23.29,29.83,32.04
Other Long-Term Assets,1.43,0.0,0.0,6.54,4.14,3.72,2.97,2.81,2.44,4.02,5.2
Net Income % 3-Year Average,26.36,0.0,265.1,0.0,0.0,25.76,0.0,0.0,0.0,0.0,0.0
Receivables Turnover,0.0,0.0,0.0,20.68,9.53,11.48,17.49,17.23,13.62,8.44,10.7
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,-19.23,-97.62,0.0,0.0,-107.69
Total Stockholders' Equity,31.3,25.77,21.46,0.0,0.0,0.0,6.22,0.0,0.0,0.0,0.0
3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,12.28,7.11,12.61,15.27,0.0
Free Cash Flow/Net Income,1.36,1.4,-0.05,-0.63,-17.15,2.42,-3.54,-3.03,-4.31,-10.42,-8.53
EBT Margin,0.0,396.37,29.94,-41.5,-10.19,12.66,11.27,2.64,-0.53,5.3,5.23
Other Long-Term Liabilities,-51.2,23.07,28.51,30.1,28.03,25.81,24.44,27.28,27.77,24.17,24.2
Financial Leverage,3.15,3.92,4.71,2.39,2.49,2.72,0.0,6.6,7.35,6.92,6.94
Tax Rate %,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,63.31,56.16
Accrued Liabilities,0.0,0.0,0.0,0.42,0.0,0.0,1.75,1.76,1.39,2.02,1.86
Other,-138.41,-194.35,41.33,39.39,36.45,31.36,32.16,37.84,31.85,29.79,28.75
Total Current Liabilities,10.75,3.27,8.91,12.67,10.54,9.51,5.87,11.59,11.5,15.12,14.42
Market Capitalization,900.48,1230.6,5274.0599999999995,N/A,4005.96,3630.9,4407.6900000000005,5395.389999999999,N/A,N/A,7317.0
Operating Cash Flow USD Mil,89.0,-205.0,131.0,349.0,398.0,746.0,700.0,588.0,632.0,928.0,949.0
Fixed Assets Turnover,0.0,0.0,0.0,0.14,0.09,0.11,0.1,0.09,0.11,0.1,0.11
SG&A,-8.11,-2.69,0.0,1.09,2.72,2.4,2.99,2.95,2.53,3.12,3.11
Current Ratio,0.2,0.77,0.23,0.63,0.54,0.67,1.01,0.48,0.52,0.66,0.78
EPS % 5-Year Average,8.79,0.0,-7.96,0.0,0.0,-12.45,0.0,-50.31,0.0,0.0,0.0
EPS % 3-Year Average,26.49,0.0,219.7,0.0,0.0,16.37,0.0,0.0,0.0,0.0,0.0
Operating Income USD Mil,-74.0,-211.0,305.0,312.0,320.0,600.0,581.0,412.0,571.0,783.0,895.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,0.44,1.08,1.21,3.1,2.42,1.82,1.68,2.26,2.64,2.32,6.47
Book Value Per Share * USD,7.39,8.59,7.59,3.09,25.77,0.0,25.8,13.14,17.22,16.78,18.37
Payables Period,145.77,0.0,0.0,140.65,130.64,143.25,82.89,23.8,23.74,39.0,28.06
Accounts Receivable,1.08,1.18,0.88,2.15,1.35,0.9,0.98,1.24,1.51,1.62,1.52
Cash & Short-Term Investments,0.8,0.95,0.72,1.43,1.74,1.2,0.76,0.46,1.0,2.82,1.0
Free Cash Flow Growth % YOY,138.14,0.0,0.0,0.0,21.2,51.6,-1.15,-41.05,-13.2,117.87,0.0
