year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,-49.96,-72.21,-50.39,-66.93,-67.1,-29.23,-36.25,-51.8,-12.65,-13.37,-31.72
Operating Margin,-85.67,-96.92,-65.38,-67.39,-71.21,-30.21,-31.67,-42.96,-18.5,-3.28,-8.72
Other Long-Term Assets,0.85,0.35,1.37,1.18,1.14,0.46,0.14,0.09,0.73,0.58,0.2
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receivables Turnover,3.15,2.95,5.32,5.28,2.61,3.85,4.8,3.07,4.92,7.47,6.15
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Total Stockholders' Equity,77.4,81.35,67.45,56.65,47.3,58.92,62.71,69.72,66.85,67.46,68.52
3-Year Average,3.5,-2.12,-0.26,8.46,-2.21,-1.97,-3.3,8.92,11.66,20.85,0.0
Free Cash Flow/Net Income,-0.95,10.36,1.04,1.12,0.69,0.9,0.89,5.03,0.51,2.01,2.74
EBT Margin,52.82,-6.99,-54.5,-71.32,-99.93,-34.68,-42.68,-11.27,-24.99,-5.34,-11.03
Other Long-Term Liabilities,9.84,3.26,14.1,17.72,22.32,19.35,18.23,11.9,10.1,10.34,10.45
Financial Leverage,1.29,1.23,1.48,1.73,2.04,1.68,1.56,1.41,1.47,1.48,1.46
Tax Rate %,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accrued Liabilities,9.3,8.15,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,10.13,14.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Current Liabilities,12.76,15.39,18.45,24.68,30.38,21.73,19.06,18.39,23.05,22.19,21.03
Market Capitalization,409.35999999999996,162.96,149.52,N/A,94.16000000000001,206.99999999999997,554.99,231.0,N/A,N/A,739.27
Operating Cash Flow USD Mil,-26.0,-27.0,-29.0,-33.0,-28.0,-17.0,-21.0,-25.0,-4.0,-10.0,-33.0
Fixed Assets Turnover,1.46,1.2,1.71,2.12,1.47,2.77,3.75,3.38,5.26,7.82,7.62
SG&A,33.53,38.53,36.74,35.81,43.96,29.64,25.78,31.92,23.61,16.95,18.4
Current Ratio,4.36,3.54,2.83,1.88,1.52,2.3,2.03,2.9,2.5,2.61,2.64
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income USD Mil,-51.0,-45.0,-43.0,-38.0,-31.0,-19.0,-22.0,-24.0,-16.0,-4.0,-10.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,0.45,3.66,6.49,15.63,16.91,16.74,14.2,12.33,19.43,14.57,14.21
Book Value Per Share * USD,2.39,1.98,1.52,1.27,0.68,0.55,0.9,0.83,0.97,0.85,0.82
Payables Period,32.63,57.91,50.36,54.78,77.64,44.93,36.61,59.12,44.81,43.86,49.17
Accounts Receivable,9.05,6.61,6.12,10.38,12.84,12.87,10.27,15.8,8.14,12.99,15.64
Cash & Short-Term Investments,40.97,42.09,39.23,27.95,17.12,25.21,18.5,24.82,39.59,33.92,21.38
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quick Ratio,3.92,3.17,2.45,1.53,0.95,1.73,1.48,2.17,2.03,2.11,1.76
Asset Turnover (Average),0.23,0.23,0.34,0.43,0.3,0.49,0.55,0.39,0.49,0.67,0.68
Days Sales Outstanding,115.84,123.83,68.66,69.1,140.09,94.88,76.0,118.98,74.25,48.86,59.36
Cap Spending USD Mil,-4.0,-7.0,-3.0,-4.0,-1.0,-0.0,-4.0,-4.0,-7.0,-6.0,-5.0
Intangibles,24.87,25.05,26.91,30.46,31.74,32.45,47.24,35.26,31.97,32.94,34.78
Net PP&E,18.59,20.13,19.34,21.23,19.06,16.59,13.04,10.37,8.56,8.62,9.53
Long-Term Debt,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Equity %,16.25,-2.03,-24.33,-29.89,-53.43,-29.78,-36.29,-5.92,-17.64,-6.58,-11.79
Inventory,4.99,4.69,6.52,8.24,8.84,11.72,9.8,12.63,9.39,9.73,17.1
Operating Margin %,-85.7,-96.9,-65.4,-67.4,-71.2,-30.2,-31.7,-43.0,-18.5,-3.3,-8.7
Cash Conversion Cycle,180.47,153.48,90.06,90.68,187.53,153.99,122.49,189.03,141.76,84.05,119.69
R&D,62.4,56.99,44.22,44.64,44.11,27.93,20.8,28.7,23.25,20.63,23.04
Interest Coverage,0.0,0.0,-38.88,-24.7,-24.69,-13.29,-30.14,-7.01,-30.06,-7.85,-19.26
Free Cash Flow Per Share * USD,-0.42,-0.42,-0.39,-0.48,-0.33,-0.2,-0.16,-0.27,-0.23,-0.07,0.0
Net Margin %,57.2,-6.97,-53.73,-43.97,-96.44,-32.59,-40.55,-10.3,-24.76,-6.64,-11.58
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow USD Mil,-30.0,-34.0,-33.0,-37.0,-29.0,-18.0,-25.0,-29.0,-11.0,-16.0,-38.0
Taxes Payable,0.0,0.15,0.19,0.27,0.18,0.31,0.24,0.25,0.15,0.2,0.06
Return on Assets %,13.44,-1.61,-18.14,-18.82,-28.78,-16.12,-22.46,-4.02,-12.25,-4.46,-7.92
Working Capital USD Mil,89.0,76.0,64.0,36.0,21.0,34.0,26.0,57.0,65.0,63.0,0.0
Earnings Per Share USD,0.37,-0.04,-0.37,-0.4,-0.48,-0.2,-0.22,-0.04,-0.13,-0.05,-0.09
Total Current Assets,55.69,54.48,52.37,47.13,48.06,50.5,39.59,54.28,58.74,57.87,55.49
Asset Turnover,0.23,0.23,0.34,0.43,0.3,0.49,0.55,0.39,0.49,0.67,0.68
