year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
Operating Cash Flow CAD Mil,54.0,61.0,42.0,74.0,47.0,59.0,52.0,115.0,148.0,145.0,215.0
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,-37.46,248.29,-135.85,19.69,16.88,-33.64,-59.43,-80.21,-24.83,-20.53,-1.32
Operating Margin,0.0,0.0,33.99,22.12,21.85,26.99,23.93,23.88,22.52,23.15,19.52
Other Long-Term Assets,22.05,16.24,12.03,5.06,5.83,8.66,8.1,5.5,3.52,3.64,3.77
Net Income % 3-Year Average,-1.11,17.62,2.35,-47.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Working Capital CAD Mil,70.0,23.0,107.0,120.0,-5.0,35.0,-106.0,-80.0,-63.0,-104.0,0.0
Receivables Turnover,0.0,0.0,0.0,4.14,4.65,4.8,6.7,7.28,7.34,6.3,4.7
EPS % Year over Year,-12.9,20.37,-6.15,-86.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue CAD Mil,-11.0,-14.0,108.0,195.0,184.0,172.0,195.0,268.0,302.0,419.0,456.0
Free Cash Flow CAD Mil,4.0,-34.0,-147.0,38.0,31.0,-58.0,-116.0,-215.0,-75.0,-86.0,-6.0
Total Stockholders' Equity,58.31,51.78,29.88,27.51,26.49,25.59,16.09,22.38,18.48,17.65,15.48
3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.09,13.25,20.63,28.99,0.0
Free Cash Flow/Net Income,0.2,-1.39,-4.18,13.3,-6.08,15.08,9.86,19.54,37.5,-3.91,-6.0
EBT Margin,-293.11,-211.34,-13.34,-2.72,-6.06,-2.88,-7.48,-3.36,-2.32,0.0,-5.92
Other Long-Term Liabilities,-25.38,6.83,5.04,3.74,5.37,4.98,5.0,8.22,6.04,5.49,5.91
Financial Leverage,1.72,1.95,3.37,3.66,3.84,3.99,6.33,4.48,5.45,5.73,6.52
Tax Rate %,35.69,15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accrued Liabilities,1.19,0.0,0.0,0.0,0.0,1.26,1.23,1.71,0.45,2.09,0.0
Other,-239.68,-189.82,5.43,29.7,31.49,31.32,30.94,36.19,38.41,41.05,42.98
Total Current Liabilities,9.47,10.01,7.88,8.67,14.31,11.4,14.08,11.51,16.84,11.05,11.58
Market Capitalization,560.88,339.71999999999997,302.1,N/A,326.8,426.74,516.42,708.24,N/A,N/A,1437.92
Fixed Assets Turnover,0.0,0.0,0.0,0.27,0.28,0.23,0.19,0.19,0.19,0.2,0.16
SG&A,-170.47,-148.07,17.62,7.63,7.88,7.68,6.9,6.72,5.96,5.97,6.14
Current Ratio,2.19,1.36,2.11,2.18,0.97,1.22,0.6,0.72,0.86,0.76,0.68
EPS % 5-Year Average,-19.2,0.0,-2.71,-30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,-8.29,9.88,-0.54,-47.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,0.0,0.0,0.01,2.54,2.11,3.08,3.1,3.36,10.84,2.11,0.72
Payables Period,0.0,73.74,138.54,232.43,223.45,200.6,64.84,47.15,122.09,150.39,445.12
Cap Spending CAD Mil,-50.0,-95.0,-189.0,-36.0,-16.0,-117.0,-168.0,-330.0,-223.0,-231.0,-221.0
Accounts Receivable,7.83,5.97,4.9,4.29,3.71,2.93,2.76,2.87,2.78,3.41,2.4
Cash & Short-Term Investments,11.1,5.7,7.57,12.3,8.96,8.78,3.99,4.1,3.74,3.46,3.64
Free Cash Flow Growth % YOY,-67.6,0.0,0.0,0.0,-18.88,0.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Per Share * CAD,0.1,-0.9,-3.87,0.24,0.82,-1.02,1.55,-4.14,-0.72,-1.09,0.0
Quick Ratio,2.0,1.18,1.6,1.93,0.9,1.04,0.49,0.61,0.39,0.63,0.53
Asset Turnover (Average),0.0,0.0,0.0,0.16,0.15,0.13,0.12,0.12,0.12,0.13,0.11
Net Income CAD Mil,20.0,24.0,35.0,3.0,-5.0,-4.0,-12.0,-11.0,-2.0,22.0,1.0
Intangibles,4.23,8.03,5.73,21.49,24.54,21.57,20.23,22.55,20.36,21.32,22.59
Net PP&E,53.0,62.3,65.74,54.64,56.02,56.17,63.37,63.74,61.73,66.76,65.82
Operating Income CAD Mil,-194.0,-187.0,37.0,43.0,40.0,46.0,47.0,64.0,68.0,97.0,89.0
Long-Term Debt,25.38,31.38,57.2,60.09,53.83,58.04,64.84,57.89,58.64,65.82,67.04
Return on Equity %,6.3,6.95,6.55,0.84,-1.59,-1.14,-3.57,-2.56,-0.38,3.73,0.15
Inventory,1.42,1.31,0.74,0.3,0.36,0.32,0.29,0.28,0.0,0.28,0.0
Operating Margin %,0.0,0.0,34.0,22.1,21.9,27.0,23.9,23.9,22.5,23.2,19.5
Cash Conversion Cycle,0.0,0.0,0.0,-112.39,-123.0,-94.73,18.33,32.11,0.0,-55.28,0.0
Interest Coverage,0.0,3.44,1.44,0.89,0.77,0.9,0.74,0.86,0.9,1.0,0.76
Net Margin %,0.0,0.0,0.0,1.48,-2.78,-2.23,-6.03,-4.05,-0.66,5.25,0.22
Operating Cash Flow Growth % YOY,54.8,12.01,-30.3,75.57,-36.28,25.04,-12.83,121.81,29.16,-2.03,0.0
Dividends CAD,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52,0.55,0.6,0.61
Days Sales Outstanding,0.0,0.0,0.0,88.19,78.48,75.97,54.44,50.12,49.74,57.93,77.64
Taxes Payable,0.0,0.04,0.26,0.92,0.14,0.11,0.08,0.06,0.0,0.03,0.0
Return on Assets %,3.58,3.8,2.44,0.24,-0.43,-0.29,-0.7,-0.5,-0.08,0.66,0.02
R&D,0.0,-34.45,3.9,1.81,2.78,2.41,5.29,3.73,4.3,4.06,4.39
Total Current Assets,20.72,13.43,16.5,18.81,13.61,13.59,8.3,8.21,14.4,8.28,7.82
Asset Turnover,0.0,0.0,0.0,0.16,0.15,0.13,0.12,0.12,0.12,0.13,0.11
4. close,14.76,8.94,7.95,N/A,8.6,11.23,13.59,13.62,N/A,N/A,18.92
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.6,0.0,0.0
EPS % 10-Year Average,29.26,35.86,8.24,-11.59,0.0,0.0,0.0,0.0,0.0,-7.32,0.0
5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,17.85,0.0
Other Current Assets,0.38,0.45,3.28,1.92,0.59,1.57,1.25,0.96,7.88,1.12,1.78
Net Income % 10-Year Average,33.32,44.08,14.08,-7.13,0.0,0.0,0.0,0.0,0.0,0.21,0.0
Debt/Equity,0.44,0.61,1.92,2.18,2.03,2.27,4.03,2.59,3.17,3.73,4.33
Return on Invested Capital %,4.04,5.93,4.8,3.7,3.26,3.57,2.69,2.49,2.32,4.26,2.19
Financial Leverage (Average),1.72,1.95,3.37,3.66,3.84,3.99,6.33,4.48,5.45,5.73,6.52
Short-Term Debt,4.72,5.57,2.8,2.28,8.16,6.03,9.13,5.97,3.76,5.77,7.22
