year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,5.42,11.09,-4.23,-2.31,-15.06,-10.53,-7.64,-24.66,20.25,6.28,3.15
Operating Margin,2.63,-6.56,-4.22,-0.77,-14.47,-13.2,5.42,6.69,8.4,5.69,5.52
Other Long-Term Assets,12.17,19.72,29.84,0.0,0.0,0.0,0.85,12.25,30.0,9.86,11.9
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.19,0.0
Receivables Turnover,4.22,3.55,5.98,6.68,5.82,5.93,7.13,5.55,4.08,7.6,6.0
EPS % Year over Year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.43,-63.83,176.47,-50.0
Total Stockholders' Equity,73.75,82.35,69.09,68.64,66.0,59.69,71.37,71.83,79.15,77.98,80.79
3-Year Average,14.31,-16.1,-17.12,-10.34,-5.81,-8.6,6.8,37.14,22.61,5.9,0.0
Free Cash Flow/Net Income,-0.37,-5.47,0.3,0.1,1.02,0.49,-3.36,-1.02,2.29,0.29,0.16
EBT Margin,-13.92,-1.65,-18.43,-12.09,-14.82,-21.46,2.19,8.43,8.28,3.37,3.16
Other Long-Term Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,5.17,1.25,3.14
Financial Leverage,1.36,1.21,1.45,1.46,1.52,1.68,1.4,1.39,1.26,1.28,1.24
Tax Rate %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.23,20.46,21.81
Accrued Liabilities,0.0,5.03,6.97,0.0,7.67,7.47,7.59,3.95,0.0,0.0,0.0
Other,2.23,2.25,0.0,-0.17,0.0,0.0,0.0,4.34,0.0,0.0,0.0
Total Current Liabilities,26.25,17.65,30.91,31.36,34.0,40.31,28.63,25.95,15.67,20.76,16.07
Market Capitalization,53.5,47.5,35.0,N/A,21.0,16.200000000000003,37.800000000000004,136.39,N/A,N/A,96.60000000000001
Operating Cash Flow USD Mil,3.0,6.0,-1.0,0.0,-4.0,-2.0,-2.0,-10.0,10.0,4.0,3.0
Fixed Assets Turnover,22.69,23.56,26.3,26.49,20.91,29.1,65.17,68.31,37.37,21.38,22.56
SG&A,25.94,34.31,30.6,26.84,37.82,34.28,25.75,28.5,29.62,29.88,29.83
Current Ratio,3.16,3.56,1.9,2.61,2.42,2.34,2.69,2.21,2.59,2.32,2.63
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.65,0.0
Operating Income USD Mil,1.0,-2.0,-1.0,-0.0,-4.0,-3.0,2.0,3.0,4.0,3.0,3.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,1.18,0.37,3.12,4.33,4.7,8.46,4.37,1.97,1.72,2.42,2.72
Book Value Per Share * USD,5.89,5.17,3.94,4.1,1.63,0.49,1.6,3.62,3.88,5.64,4.26
Payables Period,86.6,97.69,72.88,72.4,70.41,64.01,58.82,52.87,81.67,67.09,63.34
Accounts Receivable,38.69,20.93,20.38,34.02,34.16,37.53,32.92,23.85,7.72,19.81,20.25
Cash & Short-Term Investments,20.99,30.91,21.13,27.14,19.22,34.75,26.09,16.54,25.22,15.32,10.77
Free Cash Flow Growth % YOY,1.67,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,0.0
Quick Ratio,2.27,2.94,1.34,1.95,1.57,1.79,2.06,1.56,2.1,1.69,1.93
Asset Turnover (Average),1.3,1.07,1.23,1.69,1.85,1.84,1.81,1.11,0.54,0.63,0.68
Days Sales Outstanding,86.59,102.94,61.08,54.59,62.69,61.51,51.21,65.77,89.56,48.04,60.8
Cap Spending USD Mil,-1.0,-2.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0
Intangibles,0.51,12.84,6.54,8.93,9.47,1.0,20.14,28.84,28.04,37.23,40.93
Net PP&E,4.48,4.64,4.75,9.27,8.33,4.56,1.98,1.49,1.4,4.72,4.84
Long-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Equity %,-25.63,-2.8,-23.75,-58.58,-40.64,-63.14,6.07,24.15,6.34,17.6,16.25
Inventory,21.62,9.37,16.22,13.29,24.48,19.84,16.65,14.08,7.15,11.02,10.61
Operating Margin %,2.6,-6.6,-4.2,-0.8,-14.5,-13.2,5.4,6.7,8.4,5.7,5.5
Cash Conversion Cycle,97.11,86.61,44.62,29.74,45.19,58.53,46.84,86.32,134.58,69.48,78.46
R&D,4.17,3.9,6.92,5.46,7.81,7.43,3.51,1.68,5.0,6.02,5.79
Interest Coverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.36,0.0,0.0
Free Cash Flow Per Share * USD,0.73,0.78,-0.31,-0.12,-0.79,-0.25,-0.34,-0.8,0.29,0.4,0.0
Net Margin %,-15.59,-2.03,-14.6,-23.82,-14.83,-21.48,2.27,15.66,8.86,21.85,19.23
Operating Cash Flow Growth % YOY,0.68,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.0
Free Cash Flow USD Mil,3.0,4.0,-1.0,-1.0,-4.0,-3.0,-3.0,-11.0,10.0,3.0,2.0
Taxes Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.11,0.3,0.73
Return on Assets %,-20.22,-2.18,-18.02,-40.38,-27.4,-39.56,4.11,17.32,4.78,13.84,13.14
Working Capital USD Mil,18.0,13.0,8.0,8.0,6.0,8.0,16.0,28.0,22.0,21.0,0.0
Earnings Per Share USD,-1.62,-0.18,-0.99,-1.8,-0.81,-0.99,0.07,0.46,0.17,0.47,0.45
Total Current Assets,82.85,62.8,58.87,81.8,82.19,94.44,77.03,57.43,40.56,48.2,42.33
Asset Turnover,1.3,1.07,1.23,1.69,1.85,1.84,1.81,1.11,0.54,0.63,0.68
4. close,10.7,9.5,7.0,N/A,4.2,2.7,2.7,5.93,N/A,N/A,4.2
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,-6.59,12.31,22.06,0.0,0.0
Net Income USD Mil,-8.0,-1.0,-5.0,-9.0,-4.0,-6.0,1.0,10.0,4.0,11.0,11.0
Other Current Assets,1.54,1.58,1.13,7.36,4.33,2.33,1.37,2.96,0.47,2.04,0.71
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,7.26,33.67,43.35,0.0,0.0
Debt/Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Return on Invested Capital %,-25.85,-3.37,-23.75,-58.58,-40.64,-63.14,6.07,19.66,5.75,15.79,15.07
Financial Leverage (Average),1.36,1.21,1.45,1.46,1.52,1.68,1.4,1.39,1.26,1.28,1.24
Short-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,8.53,9.57,4.45
