year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,2.19,1.85,6.45,-5.05,-0.63,0.75,2.41,2.2,5.49,5.0,0.89
Operating Margin,7.14,7.05,6.56,7.93,3.55,4.27,3.93,6.08,9.36,10.72,10.19
Other Long-Term Assets,1.07,0.32,0.44,7.35,8.09,6.07,5.49,0.69,1.47,0.38,0.47
Net Income % 3-Year Average,99.25,0.0,0.0,-39.72,0.0,90.45,11.65,76.76,67.11,92.76,0.0
Receivables Turnover,8.95,10.85,11.98,10.49,7.78,7.08,6.81,6.41,7.21,6.85,7.53
EPS % Year over Year,0.0,0.0,0.0,22.5,-77.55,131.82,-5.88,100.0,116.67,45.85,17.78
Total Stockholders' Equity,16.42,11.57,11.68,42.0,38.34,40.07,39.84,27.3,34.58,38.89,39.83
3-Year Average,66.32,21.87,32.69,-1.22,-7.41,6.83,16.13,20.8,23.77,17.96,0.0
Free Cash Flow/Net Income,0.24,-0.67,26.43,-2.93,-0.59,0.34,1.31,0.63,1.0,0.62,0.11
EBT Margin,9.94,-1.28,-0.39,2.88,1.16,2.89,2.59,4.92,8.52,10.14,9.4
Other Long-Term Liabilities,18.38,19.28,16.57,15.33,15.24,13.0,11.37,11.84,11.98,10.27,9.39
Financial Leverage,6.09,8.64,8.56,2.38,2.61,2.5,2.51,3.66,2.89,2.57,2.51
Tax Rate %,0.0,0.0,0.0,28.07,9.34,22.69,28.88,28.84,35.55,20.8,17.12
Accrued Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,2.7,2.29,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Current Liabilities,37.35,25.89,21.85,23.51,26.61,29.44,31.15,30.57,27.25,21.43,20.67
Market Capitalization,N/A,N/A,N/A,N/A,382.2,587.6,759.36,1070.72,N/A,N/A,3213.6299999999997
Operating Cash Flow USD Mil,28.0,26.0,71.0,-38.0,6.0,30.0,46.0,43.0,150.0,172.0,90.0
Fixed Assets Turnover,27.57,30.83,26.48,24.88,21.98,22.45,22.56,15.69,17.23,14.96,13.13
SG&A,4.77,4.01,5.66,4.48,4.98,5.8,5.6,6.75,8.2,8.23,8.57
Current Ratio,0.89,1.28,1.38,1.1,1.06,1.3,1.32,1.31,1.54,1.88,2.0
EPS % 5-Year Average,0.0,0.0,-37.13,0.0,0.0,-53.19,0.0,3.71,16.24,69.01,0.0
EPS % 3-Year Average,40.72,0.0,0.0,-64.92,0.0,-13.94,-21.17,63.41,59.77,84.89,0.0
Operating Income USD Mil,69.0,77.0,65.0,73.0,31.0,51.0,57.0,94.0,213.0,255.0,249.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,27.38,25.89,21.85,4.42,4.59,7.57,7.11,3.79,4.75,4.38,3.65
Book Value Per Share * USD,0.0,0.0,0.0,8.28,7.71,8.59,9.46,11.8,12.9,14.23,16.94
Payables Period,0.0,0.0,0.0,68.46,69.27,61.55,62.0,68.86,57.87,60.58,62.75
Accounts Receivable,11.07,11.96,7.48,13.31,12.65,20.28,18.74,18.16,20.66,20.83,19.92
Cash & Short-Term Investments,3.42,3.58,9.05,1.18,1.25,1.05,1.54,1.4,0.72,0.0,0.76
Free Cash Flow Growth % YOY,0.0,-0.03,2.13,0.0,0.0,0.0,2.87,-0.03,2.69,-0.04,0.0
Quick Ratio,0.39,0.6,0.76,0.62,0.52,0.72,0.65,0.64,0.78,0.97,1.0
Asset Turnover (Average),1.06,1.24,1.17,1.1,0.99,1.18,1.28,1.06,1.27,1.25,1.27
Days Sales Outstanding,40.8,33.66,30.47,34.78,46.93,51.57,53.61,56.93,50.61,53.29,48.46
Cap Spending USD Mil,-7.0,-6.0,-7.0,-8.0,-11.0,-21.0,-11.0,-9.0,-25.0,-53.0,-68.0
Intangibles,61.91,62.18,64.84,62.54,58.91,50.08,47.92,51.95,49.1,49.93,47.46
Net PP&E,3.79,4.28,4.57,4.3,4.68,5.71,5.62,7.47,7.22,9.46,10.77
Long-Term Debt,27.85,43.26,49.9,19.17,19.81,17.48,17.64,30.29,26.19,29.41,30.11
Return on Equity %,140.89,-24.47,3.96,8.34,2.75,6.7,5.89,11.51,22.42,27.38,25.36
Inventory,16.21,16.02,10.21,10.74,13.9,16.14,20.24,19.96,20.01,18.21,19.67
Operating Margin %,7.1,7.0,6.6,7.9,3.5,4.3,3.9,6.1,9.4,10.7,10.2
Cash Conversion Cycle,0.0,0.0,0.0,5.98,27.54,42.15,49.07,67.49,62.68,61.17,55.18
R&D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest Coverage,3.39,0.71,0.87,1.72,1.91,3.98,4.03,7.24,8.96,13.52,12.13
Free Cash Flow Per Share * USD,0.0,0.0,0.0,-7.99,-0.1,0.27,-0.07,0.83,2.87,3.15,0.0
Net Margin %,9.12,-2.76,0.39,2.07,1.12,2.23,1.84,3.5,5.49,8.03,7.79
