year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,2.21,3.82,-2.29,-2.25,0.63,-0.41,0.44,0.01,-1.57,-0.76,-2.5
Operating Margin,1.44,1.49,5.17,3.43,3.96,3.04,3.58,1.04,1.17,0.5,0.98
Other Long-Term Assets,2.95,3.19,7.9,7.51,6.92,3.75,1.08,0.73,0.93,0.85,0.74
Net Income % 3-Year Average,0.0,0.0,431.38,0.0,0.0,0.0,35.24,0.0,0.0,0.0,0.0
Receivables Turnover,11.54,10.45,9.31,11.21,10.52,10.59,10.54,9.41,9.8,9.06,8.6
EPS % Year over Year,0.0,0.0,0.0,-91.3,350.0,0.0,0.0,0.0,0.0,0.0,100.0
Total Stockholders' Equity,40.08,43.31,48.87,48.59,47.27,47.24,54.22,34.68,39.57,32.69,30.8
3-Year Average,35.29,18.26,3.77,0.84,3.32,9.55,4.72,1.63,4.45,0.98,0.0
Free Cash Flow/Net Income,-2.14,-4.62,-0.31,-4.34,0.27,0.48,0.37,0.0,0.41,0.07,0.24
EBT Margin,-0.88,-1.55,3.02,2.72,3.04,-0.02,2.86,-0.57,-5.52,-13.32,-12.78
Other Long-Term Liabilities,8.2,7.61,3.49,4.85,4.78,4.87,2.76,7.59,5.32,2.47,1.57
Financial Leverage,2.56,2.37,2.09,2.11,2.17,2.17,1.88,2.9,3.08,4.09,4.38
Tax Rate %,0.0,0.0,28.71,41.79,30.85,0.0,57.31,0.0,0.0,0.0,0.0
Accrued Liabilities,5.67,0.0,0.0,4.69,6.12,5.44,6.13,3.38,7.38,6.6,0.0
Other,0.19,0.5,0.42,0.4,0.47,0.22,0.18,0.43,0.84,0.87,0.89
Total Current Liabilities,34.16,42.02,39.34,43.79,40.51,41.7,37.61,31.27,34.79,41.82,45.46
Market Capitalization,412.8,235.95,385.44,N/A,347.06,634.44,977.16,892.08,N/A,N/A,932.6400000000001
Operating Cash Flow USD Mil,34.0,45.0,1.0,-6.0,31.0,30.0,25.0,31.0,1.0,31.0,11.0
Fixed Assets Turnover,9.3,8.84,7.71,8.99,8.35,7.92,8.48,7.35,7.95,7.85,7.52
SG&A,13.16,11.32,9.98,8.06,7.45,6.91,7.29,7.49,7.33,9.96,8.79
Current Ratio,1.74,1.37,1.42,1.35,1.46,1.46,1.82,1.57,1.4,1.28,1.23
EPS % 5-Year Average,0.0,0.0,30.83,-15.89,104.77,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 3-Year Average,0.0,0.0,351.44,0.0,0.0,0.0,33.42,0.0,0.0,0.0,0.0
Operating Income USD Mil,15.0,12.0,43.0,35.0,41.0,30.0,39.0,12.0,16.0,6.0,12.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,1.24,0.56,1.77,2.06,1.28,0.95,1.19,5.32,0.95,1.3,1.0
Book Value Per Share * USD,4.29,3.75,4.46,4.75,4.92,5.19,5.92,7.37,6.33,5.17,3.5
Payables Period,29.29,39.35,55.7,39.55,32.07,31.03,30.26,35.41,29.88,29.6,57.35
Accounts Receivable,16.47,17.17,16.22,15.15,16.28,16.44,19.99,11.41,14.18,13.96,14.46
Cash & Short-Term Investments,4.26,3.76,0.43,0.38,0.97,1.21,1.55,0.19,0.11,0.33,0.2
Free Cash Flow Growth % YOY,0.0,0.34,0.0,0.0,0.0,0.0,0.0,-0.99,0.0,0.0,0.0
Quick Ratio,0.62,0.51,0.43,0.36,0.44,0.43,0.58,0.37,0.41,0.34,0.32
Asset Turnover (Average),1.84,1.75,1.55,1.74,1.63,1.67,1.85,1.23,1.15,1.21,1.15
