year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Free Cash Flow/Sales %,-58.87,10.92,16.95,-45.82,15.58,7.87,-6.61,14.16,6.81,1.97,-3.04
Operating Margin,37.32,43.2,30.21,12.99,-2.59,3.88,5.04,-20.72,1.47,8.52,7.9
Other Long-Term Assets,0.0,0.56,1.7,0.93,5.46,5.72,4.5,2.78,1.8,16.32,4.83
Net Income % 3-Year Average,0.0,201.67,111.12,41.55,0.0,36.73,0.0,0.0,0.0,3.6,0.0
Receivables Turnover,3.05,7.78,12.57,3.02,6.93,6.92,8.75,6.66,8.28,9.43,7.26
EPS % Year over Year,0.0,95.47,-26.54,48.52,0.0,0.0,-90.2,0.0,0.0,0.0,0.0
Total Stockholders' Equity,0.0,87.67,90.73,44.62,38.61,52.1,49.17,43.78,40.41,43.05,46.28
3-Year Average,0.0,71.88,52.05,80.46,82.53,70.9,0.0,-17.39,-20.4,-24.36,0.0
Free Cash Flow/Net Income,-2.54,0.36,0.82,-3.7,-0.38,0.85,-3.1,-0.45,-2.68,0.36,-0.61
EBT Margin,33.35,43.24,30.6,16.7,-45.69,9.74,3.84,-29.2,-1.67,5.7,4.76
Other Long-Term Liabilities,0.0,0.85,2.08,14.59,5.17,5.35,9.47,16.55,9.7,9.02,8.84
Financial Leverage,1.18,1.14,1.1,2.25,2.59,1.92,2.03,2.28,2.47,2.32,2.16
Tax Rate %,30.34,25.76,30.07,29.36,0.0,4.28,45.34,0.0,0.0,4.2,0.0
Accrued Liabilities,0.0,0.0,0.0,0.0,3.31,2.87,3.13,5.61,7.36,7.43,0.0
Other,2.98,-1.86,2.19,6.7,0.0,0.0,0.0,0.0,5.21,2.02,2.55
Total Current Liabilities,0.0,8.36,4.16,33.88,27.32,23.81,17.02,20.74,30.19,28.03,32.53
Market Capitalization,296.37,292.09999999999997,243.34,N/A,135.72,193.2,299.93,92.4,N/A,N/A,291.48
Operating Cash Flow USD Mil,-1.0,15.0,16.0,-61.0,102.0,48.0,-17.0,64.0,23.0,13.0,3.0
Fixed Assets Turnover,1.46,2.81,2.73,2.94,7.77,7.97,7.95,4.58,3.63,4.95,3.82
SG&A,9.4,7.61,9.99,7.38,8.29,7.86,7.27,9.16,11.23,11.92,11.95
Current Ratio,7.34,9.45,17.99,1.85,2.78,3.13,4.38,3.05,2.18,2.41,2.07
EPS % 5-Year Average,0.0,0.0,0.0,-24.64,0.0,17.09,-31.46,0.0,0.0,0.0,0.0
EPS % 3-Year Average,0.0,-39.37,-36.37,28.72,0.0,15.58,0.0,0.0,0.0,40.95,0.0
Operating Income USD Mil,12.0,27.0,20.0,23.0,-14.0,18.0,26.0,-64.0,3.0,19.0,17.0
Total Assets,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Other Short-Term Liabilities,0.0,0.24,0.32,0.12,0.73,0.9,0.0,0.0,0.0,0.0,0.0
Book Value Per Share * USD,0.0,0.0,0.0,0.0,1.76,2.37,2.76,2.34,1.42,1.5,1.75
Payables Period,165.47,75.15,52.63,103.57,38.07,46.88,41.91,39.0,64.94,85.73,109.69
Accounts Receivable,0.0,5.23,3.82,14.92,27.8,18.91,18.8,18.1,16.72,12.98,13.63
Cash & Short-Term Investments,0.0,50.77,49.08,9.89,3.1,6.82,3.2,3.99,11.09,13.89,11.95
Free Cash Flow Growth % YOY,0.0,0.0,63.51,0.0,0.0,-57.98,0.0,0.0,-64.2,-72.51,0.0
Quick Ratio,6.14,6.7,12.73,0.73,1.13,1.08,1.29,1.07,0.92,0.96,0.79
Asset Turnover (Average),0.29,0.56,0.54,0.39,0.94,1.23,1.32,1.0,1.05,0.95,0.93
Days Sales Outstanding,119.78,46.95,29.05,120.95,52.63,52.71,41.74,54.81,44.11,38.71,50.31
Cap Spending USD Mil,-17.0,-8.0,-5.0,-22.0,-16.0,-12.0,-16.0,-20.0,-8.0,-9.0,-10.0
Intangibles,0.0,0.0,4.44,24.0,4.17,3.6,3.94,3.31,5.07,4.43,4.57
Net PP&E,0.0,20.42,19.09,12.41,14.47,16.32,17.09,30.65,27.37,11.79,23.21
Long-Term Debt,0.0,3.12,3.03,6.92,28.91,18.74,24.34,18.94,19.7,19.91,12.34
Return on Equity %,8.48,19.62,12.5,9.3,-93.46,25.23,5.59,-66.33,-6.37,12.4,10.44
Inventory,0.0,21.11,20.0,37.4,44.35,47.74,51.17,40.34,36.66,37.01,37.68
Operating Margin %,37.3,43.2,30.2,13.0,-2.6,3.9,5.0,-20.7,1.5,8.5,7.9
Cash Conversion Cycle,271.43,190.79,229.2,477.18,184.92,161.1,154.95,170.19,141.81,135.95,122.42
R&D,3.0,1.79,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest Coverage,0.0,80.47,117.73,12.99,-27.55,6.24,3.23,-9.13,0.53,3.06,2.42
Free Cash Flow Per Share * USD,0.0,0.0,0.0,0.0,1.09,0.42,-0.26,0.36,0.45,0.14,0.0
Net Margin %,25.07,30.08,20.7,12.1,-41.28,9.29,2.13,-31.25,-2.55,5.47,4.97
Operating Cash Flow Growth % YOY,0.0,0.0,7.05,0.0,0.0,-52.89,0.0,0.0,-63.34,-44.13,0.0
Free Cash Flow USD Mil,-18.0,7.0,11.0,-82.0,86.0,36.0,-34.0,44.0,16.0,4.0,-7.0
Taxes Payable,0.0,2.36,0.03,0.89,0.58,1.0,1.52,2.99,3.84,4.63,5.11
Return on Assets %,7.17,16.9,11.16,4.75,-38.92,11.39,2.83,-31.34,-2.68,5.18,4.63
Working Capital USD Mil,0.0,83.0,93.0,231.0,187.0,185.0,230.0,94.0,78.0,97.0,0.0
Earnings Per Share USD,0.19,0.41,0.3,0.44,-2.91,0.51,0.12,-1.16,-0.07,0.14,0.13
Total Current Assets,0.0,79.02,74.77,62.66,75.9,74.36,74.48,63.26,65.76,67.46,67.39
Asset Turnover,0.29,0.56,0.54,0.39,0.94,1.23,1.32,1.0,1.05,0.95,0.93
4. close,8.01,6.35,5.29,N/A,1.74,2.3,3.37,1.1,N/A,N/A,3.47
Payout Ratio % *,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.97,0.0
Net Income USD Mil,7.0,19.0,14.0,22.0,-228.0,43.0,11.0,-97.0,-6.0,12.0,11.0
Other Current Assets,0.0,1.91,1.87,0.45,0.65,0.89,1.31,0.82,1.29,3.58,4.13
Net Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84,0.0
Debt/Equity,0.05,0.04,0.03,0.16,0.75,0.36,0.5,0.43,0.49,0.46,0.27
Return on Invested Capital %,7.93,18.11,11.86,6.45,-44.95,17.84,6.12,-40.93,0.12,12.47,11.81
Financial Leverage (Average),1.18,1.14,1.1,2.25,2.59,1.92,2.03,2.28,2.47,2.32,2.16
Short-Term Debt,0.0,0.46,0.45,24.23,9.79,4.09,0.41,0.2,0.15,0.11,7.79
Operating Income % Year over Year,0.0,139.35,-26.31,62.08,0.0,0.0,43.56,0.0,0.0,21.1,13.34
Operating Income % 5-Year Average,0.0,0.0,0.0,95.95,0.0,8.19,-1.27,0.0,0.0,0.0,0.0
Cap Ex as a % of Sales,54.32,12.49,6.84,12.0,2.88,2.58,3.23,6.42,3.32,3.99,4.52
Year over Year,0.0,104.31,5.38,172.96,0.0,-16.8,10.72,-38.8,-25.57,-5.0,3.79
Net Income % Year over Year,0.0,145.11,-27.49,59.58,0.0,0.0,-74.66,0.0,0.0,0.0,0.0
Net Int Inc & Other,-3.97,0.04,0.39,3.71,-43.1,5.85,-1.2,-8.48,-3.14,-2.82,-3.14
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34,0.0
COGS,47.3,49.26,54.99,72.94,94.3,88.26,87.7,111.56,82.09,77.54,77.6
Shares Mil,37.0,46.0,46.0,50.0,78.0,84.0,89.0,84.0,84.0,84.0,84.0
Net Income % 5-Year Average,0.0,0.0,0.0,99.71,0.0,35.5,-9.72,0.0,0.0,0.0,0.0
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin %,52.7,50.7,45.0,27.1,5.7,11.7,12.3,-11.6,17.9,22.5,22.4
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Liabilities,0.0,12.33,9.27,55.38,61.39,47.9,50.83,56.22,59.59,56.95,53.72
Accounts Payable,0.0,5.3,3.35,8.63,12.9,14.96,11.96,11.94,18.84,15.85,19.64
Inventory Turnover,1.15,1.67,1.44,0.79,2.14,2.35,2.35,2.36,2.24,1.99,2.01
10-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.03,0.0
Revenue USD Mil,31.0,64.0,67.0,180.0,552.0,459.0,508.0,311.0,231.0,220.0,220.0
Gross Margin,52.7,50.74,45.01,27.06,5.7,11.74,12.3,-11.56,17.91,22.46,22.4
Days Inventory,317.12,218.99,252.78,459.8,170.36,155.27,155.13,154.38,162.64,182.97,181.81
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Operating Income % 3-Year Average,0.0,189.18,105.36,41.93,0.0,-3.49,0.0,0.0,-4.61,-9.87,0.0
5-Year Average,0.0,0.0,0.0,70.96,77.56,61.82,45.02,31.59,0.0,-16.8,0.0
