ticker,AQN.to,ATP.to,BEP-UN.to,BLDP.to,BLX.to,CAS.to,CLR.to,CMH.to,DRT.to,ECO.to,EHT.v,HYG.to,INE.to,KPT.to,NFI.to,NPI.to,PIF.to,RNW.to,SOY.to,SXI.to,UGE.v,VNP.to,WPRT.to
Operating Cash Flow CAD Mil,578.0,N/A,N/A,N/A,215.0,267.0,102.0,N/A,16.0,N/A,-8.0,N/A,240.0,0.0,N/A,1063.0,N/A,321.0,N/A,0.0,N/A,N/A,N/A
Free Cash Flow/Sales %,-5.04,44.95,22.91,-31.72,-1.32,0.58,7.45,3.15,-3.52,-16.42,0.0,-20.47,27.72,0.0,0.89,17.58,23.34,61.42,-2.5,-7.73,-10.64,-3.04,-15.96
Operating Margin,23.63,13.81,32.04,-8.72,19.52,4.93,8.29,5.52,0.09,-26.44,-622.36,-15.84,37.91,0.0,10.19,45.9,49.01,34.47,0.98,-5.33,-8.13,7.9,-17.86
Other Long-Term Assets,13.14,15.99,5.2,0.2,3.77,6.71,4.28,11.9,4.0,0.0,36.06,6.44,11.09,97.18,0.47,5.75,0.75,44.17,0.74,8.6,0.01,4.83,6.3
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Working Capital CAD Mil,0.0,N/A,N/A,N/A,0.0,0.0,0.0,N/A,0.0,N/A,0.0,N/A,0.0,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A,N/A,N/A
Receivables Turnover,9.4,10.49,10.7,6.15,4.7,6.98,6.64,6.0,9.25,10.31,0.94,13.28,4.82,0.0,7.53,7.15,4.68,5.15,8.6,6.34,9.54,7.26,4.09
EPS % Year over Year,16.67,-94.74,-107.69,100.0,0.0,-91.82,-106.67,-50.0,-300.0,-66.67,-100.37,-31.11,-25.0,50.0,17.78,47.37,212.5,160.0,100.0,-141.88,100.0,0.0,-115.38
Revenue CAD Mil,2080.0,N/A,N/A,N/A,456.0,4462.0,607.0,N/A,309.0,N/A,1.0,N/A,484.0,0.0,N/A,1514.0,N/A,438.0,N/A,4.0,N/A,N/A,N/A
Free Cash Flow CAD Mil,-105.0,N/A,N/A,N/A,-6.0,26.0,45.0,N/A,-11.0,N/A,-8.0,N/A,134.0,0.0,N/A,266.0,N/A,269.0,N/A,-0.0,N/A,N/A,N/A
