symbol, Debt/Equity,Dividends $,Dividends %,EPS,Long-Term Debt,Market Capitalization,Net Income Mil,Operating Income Mil,R&D,ROE %,Revenue Mil,Share Outstanding,Shares Mil,Short-Term Debt,Total Debt,Total Liabilities,currency,cust. regression origin,cust. regression slope,key_data,latest_price,price_data
AAB.to, 0.0, 0.0, 0.0, 0.1, 0.0, 10.34, 9.0, -6.0, 0.0, 24.12, 0.0, 94.0, 94.0, 0.0, 0.0, 2.31, CAD, 0.11499652069586073, 0.0006520695860827832, None, 0.11, None
AAV.to, 0.19, 0.0, 0.0, 0.15, 14.66, 735.08, 29.0, 1.0, 0.0, 2.27, 198.0, 188.0, 188.0, 0.0, 14.66, 23.3, CAD, 4.2255899820036005, -0.0031017996400719864, None, 3.91, None
ABT.to, 0.0, 0.25, 0.031928480204342274, 0.08, 0.0, 313.2, 3.0, 3.0, 21.42, 0.0, 94.0, 40.0, 40.0, 0.0, 0.0, 158.24, USD, 7.506754409118175, -0.008959088182363524, None, 7.83, None
ABX.to, 0.61, 0.12, 0.00909090909090909, -0.23, 24.44, 15404.4, -261.0, 2011.0, 0.0, -2.75, 7723.0, 1167.0, 1167.0, 2.91, 27.35, 59.97, USD, 15.252423395320944, 0.022739532093581285, None, 13.2, None
AC.to, 1.68, 0.0, 0.0, 5.36, 32.61, 6822.719999999999, 1493.0, 1314.0, 0.0, 58.5, 17104.0, 276.0, 276.0, 2.19, 34.8, 80.6, CAD, 21.943063407318537, 0.03464073185362927, None, 24.72, None
ACB.to, 0.15, 0.0, 0.0, -0.04, 12.43, 3120.1, -13.0, -47.0, 2.09, -1.66, 42.0, 410.0, 410.0, 0.14, 12.57, 17.14, CAD, 7.508989262147572, 0.012626214757048596, None, 7.61, None
ACD.to, 0.25, 0.36, 0.03891891891891892, 0.72, 6.88, 74.0, 6.0, 8.0, 0.0, 7.8, 0.0, 8.0, 8.0, 58.71, 65.59, 72.07, CAD, 9.36550197960408, -0.007602039592081582, None, 9.25, None
ACO-X.to, 2.76, 1.41, 0.03519720419370943, 1.22, 53.67, 4606.900000000001, 139.0, 1729.0, 0.0, 3.88, 4952.0, 115.0, 115.0, 1.4, 55.07, 80.53, CAD, 39.707069406118784, 0.005640611877624495, None, 40.06, None
ACQ.to, 0.87, 0.4, 0.034812880765883375, -0.27, 22.74, 310.23, -7.0, 67.0, 0.0, -1.56, 3069.0, 27.0, 27.0, 44.09, 66.83, 73.88, CAD, 12.207109778044392, 0.10457780443911222, None, 11.49, None
ACR-UN.to, 0.58, 0.72, 0.050919377652050915, 2.56, 33.06, 466.62, 86.0, 39.0, 0.0, 21.74, 104.0, 33.0, 33.0, 0.8, 33.86, 43.23, CAD, 14.523151559688063, -0.034994031193761245, None, 14.14, None
AD.to, 0.13, 1.62, 0.08530805687203792, 0.26, 10.99, 702.63, 10.0, 36.0, 0.0, 1.53, 97.0, 37.0, 37.0, 0.0, 10.99, 17.77, CAD, 17.387344391121783, -0.01166088782243551, None, 18.99, None
ADN.to, 0.33, 0.83, 0.04363827549947424, 1.55, 19.99, 323.34, 26.0, 23.0, 0.0, 9.56, 85.0, 17.0, 17.0, 0.0, 19.99, 40.3, CAD, 19.828402099580078, -0.004090041991601681, None, 19.02, None
ADW-A.to, 0.5, 0.05, 0.002930832356389215, 0.69, 25.06, 750.64, 29.0, 41.0, 0.0, 14.42, 371.0, 44.0, 44.0, 11.1, 36.16, 50.25, CAD, 16.618466346730642, 0.019034673065386913, None, 17.06, None
AEF.to, 0.0, 0.0, 0.0, -8.16, 0.0, 97.44, -536.0, -21.0, 0.0, -123.37, 365.0, 84.0, 84.0, 40.18, 40.18, 60.83, CAD, 1.2223074385122974, 0.012843851229754047, None, 1.16, None
AEM.to, 0.35, 0.43, 0.009307359307359306, 0.69, 20.79, 10810.800000000001, 163.0, 338.0, 0.0, 3.33, 2280.0, 234.0, 234.0, 0.0, 20.79, 40.42, USD, 56.15219406118774, 0.005906118776244754, None, 46.2, None
AEZS.to, 0.0, 0.0, 0.0, 0.07, 0.0, 37.28, 2.0, 5.0, 25.58, 24.38, 25.0, 16.0, 16.0, 0.0, 0.0, 69.94, USD, 2.7861782843431318, -0.007571565686862629, None, 2.33, None
AFN.to, 1.87, 2.4, 0.03998667110963012, 2.02, 50.28, 960.32, 33.0, 91.0, 0.0, 10.11, 853.0, 16.0, 16.0, 0.01, 50.29, 73.15, CAD, 58.11563575284946, -0.04562471505698859, None, 60.02, None
AGF-B.to, 0.18, 0.32, 0.05039370078740158, 0.83, 12.28, 514.35, 68.0, 77.0, 0.0, 7.24, 460.0, 81.0, 81.0, 0.0, 12.28, 30.36, CAD, 6.662240341931613, 0.0007841931613677261, None, 6.35, None
AGI.to, 0.0, 0.02, 0.0034423407917383822, 0.06, 0.0, 2068.3599999999997, 16.0, 64.0, 0.0, 0.68, 633.0, 356.0, 356.0, 0.0, 0.0, 19.9, USD, 7.014209178164366, 0.00041781643671265665, None, 5.81, None
AGT.to, 2.99, 0.6, 0.03305785123966942, -2.21, 42.39, 435.59999999999997, -51.0, 9.0, 0.0, -23.89, 1580.0, 24.0, 24.0, 1.69, 44.08, 72.82, CAD, 16.421467666466718, -0.0034333533293341226, None, 18.15, None
AI.to, 0.82, 0.89, 0.06617100371747213, 0.94, 44.49, 578.35, 32.0, 0.0, 0.0, 9.07, 48.0, 43.0, 43.0, 0.0, 44.49, 45.51, CAD, 13.48649358128374, -0.01204187162567487, None, 13.45, None
AIF.to, 0.51, 0.6, 0.019678583142013775, 0.04, 26.46, 1189.11, 3.0, 31.0, 0.0, 0.65, 500.0, 39.0, 39.0, 0.02, 26.48, 47.9, CAD, 28.817036652669458, 0.02536526694661067, None, 30.49, None
