year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,TTM
,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other,0.0,4.04,-5.5,0.52,0.69,0.71,0.65,1.42,0.84,6.08,6.08
Inventory Turnover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net PP&E,2.04,76.47,77.87,77.79,69.01,71.49,78.42,65.69,66.28,72.13,72.13
SG&A,0.0,161.23,28.53,14.66,15.32,20.63,20.81,51.8,40.21,30.62,30.62
Total Liabilities,31.19,92.21,99.45,103.23,102.38,95.48,98.85,104.63,95.73,99.11,99.11
Market Capitalization,N/A,N/A,157.25,86.42999999999999,59.739999999999995,N/A,N/A,110.22,100.2,76.82000000000001,81.83
Days Sales Outstanding,0.0,226.91,116.49,162.75,175.31,101.31,61.46,156.65,21.65,22.7,22.7
Net Income % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Year Average,0.0,394.1,73.03,100.56,32.45,20.03,16.11,3.19,0.0,0.0,0.0
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Working Capital USD Mil,11.0,-73.0,20.0,18.0,47.0,36.0,1.0,45.0,44.0,23.0,0.0
EPS % 3-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Year over Year,0.0,0.0,348.87,7.23,-3.15,-7.94,1.65,-69.8,43.43,-10.75,55.51
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0,-13.66,0.0,0.0,0.0,0.0,0.0,0.0
Operating Income USD Mil,-14.0,-14.0,19.0,21.0,17.0,15.0,6.0,-12.0,-7.0,-1.0,-1.0
3-Year Average,0.0,0.0,0.0,0.0,67.05,-1.49,-3.23,-34.38,-23.93,-27.16,0.0
Other Long-Term Liabilities,0.0,4.23,7.46,10.55,8.27,11.18,6.69,11.4,7.92,8.27,8.27
Earnings Per Share USD,-0.37,-0.11,-0.14,-0.04,-0.05,-0.05,-0.05,-0.13,0.06,-0.03,-0.03
5-Year Average,0.0,0.42,36.06,0.0,0.0,0.0,34.26,-21.75,-17.06,-18.4,0.0
Operating Margin,0.0,-121.49,36.95,38.24,31.16,30.78,12.15,-76.62,-30.1,-2.91,-2.91
Tax Rate %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,0.0,0.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Short-Term Debt,0.0,19.74,3.43,6.63,4.09,10.57,7.77,4.82,4.22,4.87,4.87
Cap Spending USD Mil,-0.0,-25.0,-53.0,-2.0,-11.0,-154.0,-32.0,-51.0,-45.0,-15.0,-15.0
R&D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Days Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial Leverage,1.45,12.83,182.5,0.0,0.0,22.24,87.24,0.0,23.49,113.09,113.09
Current Ratio,1.83,0.44,1.51,1.35,1.68,1.34,1.02,2.56,3.95,2.36,2.36
Return on Assets %,-89.63,-7.4,-5.75,-1.84,-2.12,-2.76,-2.39,-9.57,7.81,-4.27,-4.27
Net Margin %,0.0,-156.7,-50.64,-15.2,-19.1,-33.02,-30.36,-283.29,89.49,-45.53,-45.53
Accounts Payable,0.14,8.05,2.74,1.54,6.84,0.16,4.46,0.27,0.13,0.85,0.85
EPS % 5-Year Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intangibles,15.52,3.31,2.92,3.23,6.07,4.63,4.51,5.5,4.58,6.55,6.55
Free Cash Flow/Sales %,0.0,-207.13,-107.05,69.23,61.72,-333.14,-20.44,-355.21,-213.22,-32.61,-32.61
Revenue USD Mil,0.0,12.0,52.0,56.0,54.0,50.0,50.0,15.0,22.0,20.0,20.0
Accrued Liabilities,0.0,0.0,0.0,0.0,0.0,3.24,0.0,2.44,1.18,1.13,1.13
Dividends USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Receivables Turnover,0.0,1.61,3.13,2.24,2.08,3.6,5.94,2.33,16.86,16.08,16.08
Other Long-Term Assets,25.32,7.13,6.49,4.05,2.38,2.58,3.71,3.05,1.61,1.8,1.8
Financial Leverage (Average),1.45,12.83,182.5,0.0,0.0,22.24,87.24,0.0,23.49,113.09,113.09
Payables Period,0.0,1010.35,428.06,139.24,271.38,279.89,155.1,274.16,10.76,28.38,28.38
