ticker,AAAA.v,AQN.to,BB.to,ETX.to
EBT Margin,0.0,8.04,8.52,-37.98
Other,0.0,44.51,15.04,6.08
Inventory Turnover,0.0,5.24,0.0,0.0
Revenue CAD Mil,0.0,N/A,N/A,N/A
Free Cash Flow Per Share * CAD,0.0,N/A,N/A,N/A
SG&A,0.0,3.44,44.91,30.62
Total Liabilities,0.3,64.17,32.91,99.11
Market Capitalization,669.3,7143.78,7601.44,81.83
Days Sales Outstanding,0.0,54.26,69.65,22.7
Working Capital CAD Mil,0.0,N/A,N/A,N/A
Net Income % 3-Year Average,0.0,0.0,0.0,0.0
10-Year Average,0.0,0.0,0.0,0.0
Earnings Per Share CAD,-0.02,N/A,N/A,N/A
EPS % 3-Year Average,0.0,0.0,0.0,0.0
Inventory,0.0,1.02,0.0,0.0
Year over Year,0.0,4.87,9.44,55.51
Operating Income % 5-Year Average,0.0,0.0,0.0,0.0
Operating Cash Flow CAD Mil,-2.0,N/A,N/A,N/A
3-Year Average,0.0,0.0,0.0,0.0
Other Long-Term Liabilities,0.0,21.07,4.0,8.27
Intangibles,0.0,10.75,64.42,6.55
Operating Income CAD Mil,-0.0,N/A,N/A,N/A
5-Year Average,0.0,0.0,0.0,0.0
Operating Margin,0.0,22.67,-6.97,-2.91
Tax Rate %,0.0,40.29,0.0,0.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0
Short-Term Debt,0.0,0.15,0.0,4.87
R&D,0.0,0.0,24.23,0.0
Days Inventory,0.0,69.69,0.0,0.0
Financial Leverage,1.0,3.14,1.49,113.09
Current Ratio,129.3,0.99,2.54,2.36
Return on Assets %,-32.14,1.99,2.41,-4.27
Net Margin %,0.0,10.74,10.29,-45.53
Accounts Payable,0.3,1.01,1.22,0.85
EPS % 5-Year Average,0.0,0.0,0.0,0.0
Free Cash Flow/Sales %,0.0,3.88,5.64,-32.61
Net PP&E,0.0,68.1,2.16,72.13
Accrued Liabilities,0.0,2.66,4.89,1.13
Asset Turnover,0.0,0.19,0.23,0.09
Other Long-Term Assets,61.79,15.92,3.03,1.8
Financial Leverage (Average),1.0,3.14,1.49,113.09
Payables Period,0.0,78.92,83.28,28.38
Total Stockholders' Equity,99.7,35.83,67.09,0.89
Operating Income % Year over Year,45.22,-1.25,-131.37,-34.95
Payout Ratio % *,0.0,131.9,0.0,0.0
Cap Spending CAD Mil,0.0,N/A,N/A,N/A
Operating Income % 10-Year Average,0.0,0.0,0.0,0.0
Return on Equity %,-32.25,6.4,3.62,-164.01
Return on Invested Capital %,-32.25,4.18,2.82,-2.4
Free Cash Flow CAD Mil,-2.0,N/A,N/A,N/A
Cash & Short-Term Investments,37.89,0.5,23.31,4.59
Total Assets,100.0,100.0,100.0,100.0
Total Current Liabilities,0.3,5.63,11.99,8.32
Fixed Assets Turnover,0.0,0.26,12.13,0.14
Other Current Assets,0.03,1.1,1.43,12.53
Net Int Inc & Other,0.0,-14.62,15.49,-35.07
Net Income CAD Mil,-2.0,N/A,N/A,N/A
Book Value Per Share * CAD,0.03,N/A,N/A,N/A
Accounts Receivable,0.29,2.62,5.65,2.39
Interest Coverage,0.0,1.87,0.0,-0.38
COGS,0.0,29.39,22.79,66.22
Gross Margin,0.0,70.61,77.21,33.78
Debt/Equity,0.0,1.11,0.25,92.8
Quick Ratio,129.21,0.59,2.42,0.84
Revenue,0.0,100.0,100.0,100.0
Shares Mil,291.0,466.0,616.0,334.0
Total Current Assets,38.21,5.24,30.39,19.51
Operating Income % 3-Year Average,0.0,0.0,0.0,0.0
Long-Term Debt,0.0,37.48,16.93,82.52
Operating Margin %,0.0,22.7,-7.0,-2.9
EPS % 10-Year Average,0.0,0.0,0.0,0.0
Dividends CAD,0.0,N/A,N/A,N/A
Gross Margin %,0.0,70.6,77.2,33.8
Receivables Turnover,0.0,6.73,5.24,16.08
Operating Cash Flow Growth % YOY,0.0,0.0,0.0,0.0
Cash Conversion Cycle,0.0,45.03,0.0,0.0
Free Cash Flow/Net Income,1.01,0.35,0.55,0.72
Taxes Payable,0.0,0.0,0.43,0.39
Cap Ex as a % of Sales,0.0,28.31,5.42,77.71
Net Income % Year over Year,0.0,0.0,0.0,0.0
Free Cash Flow Growth % YOY,0.0,0.0,0.0,0.0
4. close,2.3,15.33,12.34,0.245
Asset Turnover (Average),0.0,0.19,0.23,0.09
Net Income % 10-Year Average,0.0,0.0,0.0,0.0
Net Income % 5-Year Average,0.0,0.0,0.0,0.0
EPS % Year over Year,-61.86,-25.67,-233.33,10.0
Other Short-Term Liabilities,0.0,1.81,5.45,1.08
Working Capital USD Mil,N/A,0.0,0.0,0.0
Operating Income USD Mil,N/A,373.0,-63.0,-1.0
Earnings Per Share USD,N/A,0.38,0.0,-0.03
Cap Spending USD Mil,N/A,-466.0,-49.0,-15.0
Revenue USD Mil,N/A,1647.0,904.0,20.0
Dividends USD,N/A,0.5,0.0,0.0
Free Cash Flow Per Share * USD,N/A,0.0,0.0,0.0
Operating Cash Flow USD Mil,N/A,530.0,100.0,9.0
Net Income USD Mil,N/A,185.0,93.0,-9.0
Free Cash Flow USD Mil,N/A,64.0,51.0,-6.0
Book Value Per Share * USD,N/A,8.18,6.43,0.01
